"","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"11","Felsställe_GH 3b (AH IIIb)",-15105.5,-13239,"Felsställe","GH 3b (AH IIIb)","Germany",48.27,9.75,530,10,6,0.995892063,8,0.004089732,5.659226321,-1.317148428,12.63560107,1030.157602,589.2395378,1471.075666,20.85456649,15.45989877,26.24923422,-8.526152388,-24.01098541,6.958680637,29.38071888,12.03512078,46.72631698,-186.5024963,-556.9289479,183.9239554,-29.92898862,-215.3906454,155.5326682,382.4178978,-299.4049232,1064.240719,1.117275437,-2.16790806,4.402458935,1.629786206,103.0051,1.260275625,3.617490198,4.052192943,86.53719777,43.3266361,159.2840793,0.76746834,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"12","Grot Skeliastyi_III-2",-13721.5,-13256.5,"Grot Skeliastyi","III-2","Ukraine",44.8069,33.982,290,8,7,1,6,9.77e-16,9.545786618,2.681620501,16.40995273,1190.852406,757.0261072,1624.678704,24.55436626,19.24646685,29.86226566,-5.739418559,-20.97519215,9.496355032,30.29378481,13.22717486,47.36039477,-58.23330025,-422.7017799,306.2351794,105.6403743,-76.83830067,288.1190493,339.3161387,-331.5401833,1010.172461,3.074349494,-0.15799482,6.306693808,1.509054915,95.37468892,1.166916936,3.349513784,3.752014623,80.12669583,40.11708585,147.4846344,0.710615826,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"13","Grotta Continenza_35-44",-14806.5,-12394.5,"Grotta Continenza","35-44","Italie",41.95,13.533,749,7,4,0.954991406,6,0.04500859,13.60698154,6.597527752,20.61643532,1455.396628,1012.387916,1898.40534,25.57701399,20.15676702,30.99726096,3.118280933,-12.43997465,18.67653652,22.45873306,5.030889428,39.88657669,91.53545163,-280.6474064,463.7183097,156.540064,-29.80097392,342.8811019,561.142337,-123.9134009,1246.198075,2.576905557,-0.723854898,5.877666013,1.664058857,105.1711865,1.286777865,3.693562125,4.137406202,88.35698195,44.23774865,162.6336521,0.783607374,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"14","Grotta del Clusantin _US 4",-14699.5,-13484,"Grotta del Clusantin ","US 4","Italie",46.246944,12.888348,520,7,6,0.999752386,4,0.000247476,10.21430184,3.115380874,17.31322281,1248.22737,799.5641892,1696.890552,22.86267353,17.37324368,28.35210338,-1.839086417,-17.59592428,13.91775145,24.70175995,7.051471017,42.35204888,5.196315992,-371.7370052,382.1296371,70.6145398,-118.1049156,259.3339952,508.4155854,-185.3840587,1202.21523,1.079862862,-2.2630278,4.422753524,1.754164129,110.8659841,1.356454169,3.893560713,4.361438009,93.1413259,46.6331293,171.4399209,0.826038058,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"15","Grotta del Romito_C-C4",-13366,-12730.5,"Grotta del Romito","C-C4","Italie",39.910981,15.929079,296,8,4,0.998666245,6,0.001333755,13.56258678,6.406109295,20.71906427,1498.941467,1046.640622,1951.242313,24.57900709,19.04507012,30.11294405,4.123682977,-11.76090793,20.00827388,20.45532411,2.661930442,38.24871778,184.3483749,-195.6410403,564.3377901,202.9940536,12.74450153,393.2436057,549.9899339,-149.4348881,1249.414756,3.109019042,-0.260975056,6.479013141,1.810331698,114.4158644,1.399887238,4.018230824,4.501089347,96.12367042,48.1263017,176.9293522,0.852487435,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"16","Grotta del Romito_D-D10",-14225,-13282.5,"Grotta del Romito","D-D10","Italie",39.910981,15.929079,296,10,4,0.948584457,6,0.051415543,11.82267383,4.684658484,18.96068918,1402.647451,951.5134418,1853.781459,23.82736585,18.30770523,29.34702648,1.277480699,-14.56613146,17.12109285,22.54988515,4.802394529,40.29737578,111.2632371,-267.745889,490.2723631,164.7870888,-24.97166128,354.5458388,522.1321331,-175.4883266,1219.752593,2.489602871,-0.871697384,5.850903126,1.792457699,113.286199,1.386065692,3.978557513,4.456648614,95.17460987,47.65113493,175.1824706,0.844070547,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"17","Grotta della Ferrovia_NA",-14002,-13139,"Grotta della Ferrovia",NA,"Italie",45.75,12.73,115,7,6,0.998192564,4,0.001807436,9.814716539,2.465165147,17.16426793,1275.016325,810.5128996,1739.519751,21.11128411,15.4280476,26.79452062,-0.396843836,-16.70998357,15.9162959,21.50812795,3.234688054,39.78156785,99.16047795,-291.0806345,489.4015904,99.92986742,-95.45240872,295.3121436,531.2188538,-187.0756821,1249.51339,1.057743521,-2.403169319,4.518656361,1.990153728,125.7809049,1.538939416,4.417365649,4.948186984,105.6717293,52.90673465,194.503919,0.937165852,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"18","Grotta Paglicci_3",-13711.5,-12969.5,"Grotta Paglicci","3","Italie",41.654194,15.615283,119,5,4,0.99985175,6,0.00014825,13.65120538,6.518495117,20.78391564,1674.04657,1223.247851,2124.845289,24.7922191,19.27666077,30.30777743,3.972719837,-11.8591171,19.80455677,20.81949926,3.08519885,38.55379967,200.1631227,-178.5643179,578.8905632,248.5101781,58.89245971,438.1278965,607.2014066,-89.90057075,1304.303384,3.462900537,0.104098453,6.821702621,1.787297162,112.9600448,1.382075169,3.967103131,4.443817795,94.90059944,47.51394595,174.6781153,0.841640444,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"19","Jean-Pierre_7",-15061.5,-13088.5,"Jean-Pierre","7","France",45.505,5.849,799,7,6,0.93504788,8,0.064949164,4.904026701,-2.175222672,11.98327607,873.0339411,425.6140361,1320.453846,22.55546707,17.0812488,28.02968534,-12.11717835,-27.83035295,3.595996241,34.67264543,17.07126665,52.27402421,-304.7636089,-680.6524222,71.12520438,-44.14613515,-232.3426361,144.0503658,329.2593309,-362.6177472,1021.136409,0.333239957,-3.000387328,3.666867242,1.734657113,109.6331094,1.341369849,3.850262739,4.31293705,92.10555659,46.11454999,169.5334395,0.81685218,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"20","Kettig_NA",-14041,-12930.5,"Kettig",NA,"Germany",50.3958,7.4701,74,7,6,0.999832443,4,0.000164803,6.107360171,-1.124758856,13.3394792,1122.519564,665.4380514,1579.601076,20.84588025,15.25345144,26.43830905,-7.809807806,-23.86229345,8.242677842,28.65568805,10.67422425,46.63715186,-88.69285147,-472.698626,295.312923,56.70623501,-135.5541903,248.9666604,431.1771729,-275.6403323,1137.994678,0.714973287,-2.690640507,4.120587081,1.882253104,118.9614125,1.455502383,4.177868317,4.679909989,99.94250074,50.03827801,183.9584551,0.886355315,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
