"","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"65","Pesturina_2",-31266,-15954,"Pesturina","2","Serbia",43.167,21.9,187,9,6,0.941741058,4,0.058258932,6.722776379,-0.084205162,13.52975792,1112.55738,682.3452387,1542.769522,22.06538621,16.8017063,27.32906612,-8.162440158,-23.27128628,6.946405963,30.22782637,13.30339637,47.15225637,-120.3987308,-481.8308656,241.033404,58.06547302,-122.8929932,239.0239392,365.5398362,-299.7276593,1030.807332,2.351577188,-0.853838838,5.556993214,1.444466657,91.29260749,1.116972343,3.206153022,3.591426636,76.69723565,38.40005575,141.1722228,0.680201135,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"66","Petersfels_P1, AH4",-16020,-14448.5,"Petersfels","P1, AH4","Germany",47.85,8.77,600,5,8,0.960932687,6,0.038987027,1.302505652,-5.445521374,8.050532678,700.9237251,274.4376032,1127.409847,17.44121676,12.223125,22.65930852,-13.69457528,-28.67256536,1.283414791,31.13579204,14.35794266,47.91364143,-346.0483756,-704.3501866,12.25343538,-158.3970394,-337.7882443,20.99416552,348.2927724,-311.2129148,1007.79846,0.500085488,-2.677568784,3.67773976,1.375313589,86.92202279,1.06349789,3.052660163,3.419489009,73.02539656,36.56167364,134.4136783,0.64763687,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"67","Peyrugues_3",-17291,-15185,"Peyrugues","3","France",44.53,1.67,150,7,6,0.998349057,4,0.001649263,7.361745223,0.110183004,14.61330744,1187.551318,729.2409652,1645.861671,21.65901688,16.05155311,27.26648065,-5.884216464,-21.97985842,10.21142549,27.54323335,9.513427268,45.57303943,-49.88955739,-434.9277124,335.1485976,82.90858035,-109.8687276,275.6858883,455.7017348,-253.0160142,1164.419484,0.947733313,-2.467036305,4.36250293,1.900419036,120.1095286,1.469549674,4.218189606,4.725076565,100.9070621,50.52120561,185.7338682,0.894909675,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"68","Pymvashor_5",-16535.5,-14503.5,"Pymvashor","5","Russia",67.167,60.85,102,3,9,1,8,5.78e-12,-10.61493044,-17.26270999,-3.967150894,197.6527859,-222.4975347,617.8031066,7.818380329,2.677807603,12.95895306,-27.32248638,-42.07796613,-12.56700664,35.14086671,18.61226605,51.66946738,-684.7583559,-1037.737299,-331.7794122,-413.4051478,-590.1313492,-236.6789464,236.2162372,-413.4919519,885.9244263,0.633836044,-2.496611567,3.764283655,1.250522203,79.03500724,0.966999625,2.775671923,3.109215938,66.39931471,33.24418885,122.2174277,0.588872452,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"69","Pymvashor_6 up",-15945.5,-15407,"Pymvashor","6 up","Russia",67.167,60.85,102,3,9,1,8,5.78e-12,-10.61493044,-17.26270999,-3.967150894,197.6527859,-222.4975347,617.8031066,7.818380329,2.677807603,12.95895306,-27.32248638,-42.07796613,-12.56700664,35.14086671,18.61226605,51.66946738,-684.7583559,-1037.737299,-331.7794122,-413.4051478,-590.1313492,-236.6789464,236.2162372,-413.4919519,885.9244263,0.633836044,-2.496611567,3.764283655,1.250522203,79.03500724,0.966999625,2.775671923,3.109215938,66.39931471,33.24418885,122.2174277,0.588872452,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"70","Rasik_horizon 24",-16414.5,-15324,"Rasik","horizon 24","Russia",59,57.33,248,5,9,0.960773324,8,0.03039118,-1.645754233,-8.186516927,4.895008462,633.1607258,219.7740418,1046.54741,15.07201104,10.01419194,20.12983013,-17.30498819,-31.82293223,-2.787044157,32.37699923,16.11447821,48.63952024,-412.7744059,-760.0710468,-65.47776501,-192.6702726,-366.5515118,-18.78903353,281.9716585,-357.2774404,921.2207573,2.268008498,-0.812044744,5.34806174,1.104268631,69.79154707,0.853905152,2.451045991,2.7455807,58.63364932,29.35614802,107.9236108,0.520001464,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"71","Rasik_horizon 27",-16380,-15675,"Rasik","horizon 27","Russia",59,57.33,248,5,9,0.960773324,8,0.03039118,-1.645754233,-8.186516927,4.895008462,633.1607258,219.7740418,1046.54741,15.07201104,10.01419194,20.12983013,-17.30498819,-31.82293223,-2.787044157,32.37699923,16.11447821,48.63952024,-412.7744059,-760.0710468,-65.47776501,-192.6702726,-366.5515118,-18.78903353,281.9716585,-357.2774404,921.2207573,2.268008498,-0.812044744,5.34806174,1.104268631,69.79154707,0.853905152,2.451045991,2.7455807,58.63364932,29.35614802,107.9236108,0.520001464,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"72","Riparo Salvini_cuts 11-15",-16673.5,-13977.5,"Riparo Salvini","cuts 11-15","Italie",41.283,13.25,35,6,4,0.999190583,6,0.000809417,10.54445224,3.280806251,17.80809823,1449.312934,990.2388673,1908.387001,22.92267863,17.30587077,28.5394865,0.006391558,-16.11607166,16.12885478,22.91628708,4.856436706,40.97613745,105.0340594,-280.6457108,490.7138296,185.8599128,-7.238633113,378.9584586,526.3774665,-183.5212671,1236.2762,3.020672959,-0.399786921,6.441132839,1.911646334,120.8191118,1.478231481,4.243109832,4.752991378,101.503201,50.81967485,186.831147,0.900196623,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"73","Riparo Tagliente_10",-16425,-14242,"Riparo Tagliente","10","Italie",45.540607,11.005638,316,10,6,0.999329742,4,0.00066974,7.841138511,0.67125542,15.0110216,1149.178148,696.0300472,1602.32625,22.26855631,16.7242531,27.81285951,-5.751782244,-21.66612837,10.16256388,28.02033855,10.19361407,45.84706303,-67.54975012,-448.2509664,313.1514661,66.91098652,-123.6949434,257.5169165,436.4098633,-264.3251303,1137.144857,0.996017107,-2.380289708,4.372323921,1.823229025,115.2309962,1.40986044,4.046857865,4.533156411,96.80848329,48.46916742,178.1898482,0.858560803,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"74","Riparo Tagliente_13-14",-17218,-15940.5,"Riparo Tagliente","13-14","Italie",45.540607,11.005638,316,9,6,0.999902924,4,8.63e-05,6.628272434,-0.57685905,13.83340392,1085.859205,630.4833488,1541.235061,21.78491818,16.21335821,27.35647815,-7.747037155,-23.73962098,8.245546666,29.53195533,11.61759157,47.4463191,-119.7163964,-502.2892061,262.8564133,41.99033788,-149.552644,233.5333198,416.0401351,-288.1397937,1120.220064,0.653062326,-2.739843,4.045967653,1.856826228,117.3543932,1.435840373,4.121430562,4.616690281,98.59240305,49.36232371,181.4734074,0.874381767,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
