"Taxon";"I";"II";"II.III";"III";"IV";"V";"VI";"VII";"VIII";"IX";"Ordre"
"106";"Chionomys_roberti";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"107";"Chiropodomys_gliroides";0.5;0.5;0;0;0;0;0;0;0;0;"RODENTIA"
"108";"Cricetulus_barabensis";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"109";"Cricetulus_lama";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"110";"Cricetulus_longicaudatus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"111";"Cricetulus_migratorius";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"112";"Cricetus_cricetus";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"113";"Desmodilliscus_braueri";0;0;0.5;0.5;0;0;0;0;0;0;"RODENTIA"
"114";"Dicrostonyx_torquatus";0;0;0;0;0;0;0;0;0;1;"RODENTIA"
"115";"Dinaromys_bogdanovi";0;0;0;0;0.333;0;0.333;0;0.333;0;"RODENTIA"
"116";"Dipus_sagitta";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"117";"Dremomys_pernyi";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"118";"Dremomys_pyrrhomerus";0;0.5;0;0;0;0.5;0;0;0;0;"RODENTIA"
"119";"Dryomys_nitedula";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"120";"Eliomys_melanurus";0;0;0.333;0.333;0.333;0;0;0;0;0;"RODENTIA"
"121";"Eliomys_quercinus";0;0;0;0;0.5;0;0.5;0;0;0;"RODENTIA"
"122";"Ellobius_fuscocapillus";0;0;0;0;0.5;0;0;0.5;0;0;"RODENTIA"
"123";"Ellobius_talpinus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"124";"Ellobius_tancrei";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"125";"Eothenomys_melanogaster";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"126";"Eothenomys_miletus";0;0;0;0;0;0;1;0;0;0;"RODENTIA"
"127";"Eremodipus_lichtensteini";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"128";"Euchoreutes_naso";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"129";"Eutamias_sibiricus";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"130";"Gerbillus_andersoni";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
