couche;min.14C;max.14C;site;level;pays;lat;long;alt;nb_mamm;Modern_climatic_zone;First_predite;proba_value;Second_predite;proba_value.1;MAT.moy;MAT.min;MAT.max;Tp.moy;Tp.min;Tp.max;Tmax.moy;Tmax.min;Tmax.max;Tmin.moy;Tmin.min;Tmin.max;Mta.moy;Mta.min;Mta.max;It.moy;It.min;It.max;Itc.moy;Itc.min;Itc.max;P.moy;P.min;P.max;D.moy;D.min;D.max;MAT_se.fit;Tp_se.fit;Tmax_se.fit;Tmin_se.fit;Mta_se.fit;It_se.fit;Itc_se.fit;P_se.fit;D_se.fit;MAT_df;Tp_df;Tmax_df;Tmin_df;Mta_df;It_df;Itc_df;P_df;D_df;MAT_residual.scale;Tp_residual.scale;Tmax_residual.scale;Tmin_residual.scale;Mta_residual.scale;It_residual.scale;Itc_residual.scale;P_residual.scale;D_residual.scale
Lunz.am.See;NA;NA;NA;NA;NA;47.85;15.07;1050;21;6;6;0.998182246;4;0.001817497;7.989968595;0.952937711;15.02699948;1310.991983;866.240354;1755.743612;21.79052393;16.34895223;27.23209563;-5.203812347;-20.82327835;10.41565366;26.99433628;9.49792676;44.49074579;-11.01339183;-384.6605186;362.633735;112.2738908;-74.8002635;299.3480452;542.8552887;-144.8956451;1230.606223;1.221635036;-2.092111511;4.535381582;1.692221144;106.9510881;1.308555104;3.756071426;4.207427054;89.85232248;44.98642178;165.3860401;0.796869029;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Zell.am.See;NA;NA;NA;NA;NA;47.32;12.8;1000;21;6;6;0.996653291;4;0.003346666;8.806126495;1.749173964;15.86307903;1349.967723;903.9570142;1795.978432;21.96183475;16.50485811;27.41881139;-3.695352019;-19.35903632;11.96833228;25.65718677;8.111245384;43.20312816;29.10440459;-345.6005073;403.8093165;125.9166575;-61.68709879;313.5204138;563.1540725;-126.5438659;1252.852011;1.292373849;-2.030753826;4.615501524;1.71234481;108.2229361;1.324116266;3.800738122;4.257461211;90.92083422;45.52139426;167.3527886;0.806345289;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Halviken;NA;NA;NA;NA;NA;63.73;15.45;323.33;10;6;8;0.999954729;6;4.53E-05;-1.932364851;-9.271437881;5.406708179;888.568458;424.7272815;1352.409635;19.7617473;14.08661346;25.43688114;-23.02232588;-39.31220773;-6.732444028;42.78407318;24.53668599;61.03146037;-496.9596996;-886.6444397;-107.2749595;-39.01548867;-234.1192055;156.0882281;384.697375;-332.573078;1101.967828;0.745177981;-2.710800585;4.201156547;1.980695692;125.1831418;1.531625738;4.396372495;4.924671147;105.1695334;52.6552999;193.5795557;0.932712051;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Hamra;NA;NA;NA;NA;NA;61.12;15;347.48;11;6;8;0.999823862;6;0.000176134;-1.522528851;-8.849898083;5.80484038;894.9243515;431.8228738;1358.025829;19.90439503;14.23831147;25.57047859;-22.4013325;-38.66523648;-6.137428521;42.30572753;24.0874399;60.52401517;-476.3916307;-865.454931;-87.32833035;-33.0077167;-227.8002969;161.7848635;380.3804916;-335.7461127;1096.507096;0.534058382;-2.916408851;3.984525615;1.970093943;124.5130943;1.523427652;4.372840744;4.898311657;104.6066094;52.37346039;192.5434137;0.927719674;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Jokkmolk;NA;NA;NA;NA;NA;66.6;19.85;261.54;11;8;8;0.999907845;6;9.22E-05;-1.796456144;-9.024387353;5.431475065;875.1607859;418.3439506;1331.977621;19.28224963;13.69305917;24.8714401;-22.22869394;-38.27188427;-6.185503616;41.51094357;23.53989208;59.48199507;-476.2018874;-859.9853002;-92.41847458;-48.52488955;-240.6739849;143.6242058;386.797534;-319.6106828;1093.205751;0.597691095;-2.80595065;4.001332841;1.878323825;118.7130758;1.452463963;4.169146848;4.670140487;99.73386672;49.93382108;183.5744344;0.884505012;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Stockholm;NA;NA;NA;NA;NA;59.35;18.07;22.45;9;6;6;0.923129285;4;0.076843387;7.137881361;0.130129462;14.14563326;1337.617286;894.7161363;1780.518436;22.62252945;17.20359851;28.04146039;-7.465703686;-23.02018176;8.088774382;30.08823314;12.66462096;47.51184531;-78.06212104;-450.1546137;294.0303716;129.2392386;-57.05655602;315.5350332;597.4755971;-87.41381045;1282.365005;1.609626314;-1.690332722;4.90958535;1.662308886;105.0605855;1.285424653;3.68967787;4.133055188;88.26406324;44.19122697;162.462622;0.78278331;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Jonkoping;NA;NA;NA;NA;NA;57.77;14.18;120;10;6;6;0.94883663;4;0.051162816;8.096985258;1.124721378;15.06924914;1357.583567;916.925317;1798.241818;22.81941648;17.42792759;28.21090536;-5.872511088;-21.34821959;9.603197408;28.69192756;11.35655046;46.02730467;-31.9682265;-402.1764022;338.2399492;139.0823125;-46.27005997;324.4346849;595.0204781;-86.40057482;1276.441531;1.609275742;-1.673971942;4.892523426;1.625487995;102.7334461;1.256951918;3.607949843;4.041506154;86.30897447;43.21237139;158.8640017;0.765444307;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Zurich;NA;NA;NA;NA;NA;47.38;8.55;499.96;21;6;6;0.997849003;4;0.002150819;8.356822077;1.287595289;15.42604886;1331.593221;884.8067596;1778.379683;21.85832595;16.39185791;27.32479398;-4.478133639;-20.169062;11.21279472;26.33645958;8.760000296;43.91291887;8.355586619;-367.0010548;383.712228;119.5484044;-68.38165378;307.4784625;555.6711281;-135.2264117;1246.568668;1.191318033;-2.137589604;4.520225671;1.72465459;109.0009339;1.333635131;3.828061037;4.288067437;91.57444994;45.84864048;168.5558618;0.81214198;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Niinisalo;NA;NA;NA;NA;NA;61.15;22.08;41.73;15;6;6;0.966505508;8;0.0327719;3.446027008;-3.74409102;10.63614504;1116.426552;661.9995708;1570.853534;21.39361529;15.83366488;26.95356571;-13.75931834;-29.71857814;2.199941462;35.15293363;17.27589834;53.02996893;-240.7455392;-622.5211754;141.0300969;57.55019057;-133.5936699;248.6940511;454.725925;-247.9866919;1157.438542;0.876883544;-2.508951928;4.262719015;1.842570849;116.4534304;1.424817021;4.089789176;4.581246646;97.83548133;48.98335521;180.0801848;0.867668892;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Inari;NA;NA;NA;NA;NA;69.07;27.1;175;11;8;8;0.999225089;6;0.000774881;-0.884032422;-7.894889646;6.126824801;902.8918137;459.7944021;1345.989225;18.60622755;13.18489534;24.02755977;-19.56169805;-35.12306873;-4.000327372;38.1679256;20.73659255;55.59925865;-410.0985625;-782.3559394;-37.84118568;-51.68234451;-238.0606918;134.6960028;429.4760518;-255.7168487;1114.668952;0.6673881;-2.634033237;3.968809437;1.665500888;105.2623251;1.287892954;3.696762872;4.140991572;88.43354984;44.27608395;162.7745863;0.784286428;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
