"","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"24","Pymvashor_4",-13454.5,-10779,"Pymvashor","4","Russia",67.167,60.85,102,10,8,0.999998814,9,1.19e-06,-8.989988458,-16.01399583,-1.965981083,364.0597341,-79.86878807,807.9882563,13.9611111,8.529610178,19.39261202,-31.06642846,-46.65698735,-15.47586957,45.02753956,27.56351084,62.49156829,-741.9482738,-1114.903888,-368.9926598,-266.7198873,-453.4478214,-79.99195309,152.8377036,-533.6404021,839.3158094,-0.088578491,-3.396192251,3.219035269,1.678966369,106.1133651,1.298305497,3.726650993,4.174471257,89.14853015,44.63405361,164.0906097,0.79062734,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"25","Santimamiñe_Arcp",-11990.5,-11315.5,"Santimamiñe","Arcp","spain",43.346,-2.636,137,3,6,0.997726044,8,0.002270917,3.480629705,-3.791262657,10.75252207,970.9681945,511.3729438,1430.563445,20.19075331,14.56756871,25.81393791,-12.58389942,-28.72466638,3.556867529,32.77465273,14.69429913,50.85500634,-222.5175991,-608.6352292,163.6000309,-0.678150047,-193.9959195,192.6396194,370.7751703,-339.9295069,1081.479848,0.118331395,-3.306011712,3.542674502,1.919281175,121.301646,1.484135326,4.260056203,4.771974143,101.9085902,51.02264133,187.5773238,0.903791879,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"26","schuger 4_layer 1",-11980,-11359.5,"schuger 4","layer 1","Russia",64.31,58.3,176,10,8,0.999998814,9,1.19e-06,-8.619988458,-15.64399583,-1.595981083,364.0597341,-79.86878807,807.9882563,14.3311111,8.899610178,19.76261202,-30.69642846,-46.28698735,-15.10586957,45.02753956,27.56351084,62.49156829,-741.9482738,-1114.903888,-368.9926598,-266.7198873,-453.4478214,-79.99195309,152.8377036,-533.6404021,839.3158094,-0.088578491,-3.396192251,3.219035269,1.678966369,106.1133651,1.298305497,3.726650993,4.174471257,89.14853015,44.63405361,164.0906097,0.79062734,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"27","Sed’yu-1 _1, 20-45",-13041.5,-11409.5,"Sed’yu-1 ","1, 20-45","Russia",63.41,53.99,10,12,8,0.999999968,6,3.05e-08,-7.006876085,-14.05713189,0.04337972,494.355394,48.7679289,939.942859,14.94246649,9.490668272,20.39426471,-28.09738212,-43.74620229,-12.44856194,43.03984861,25.51055752,60.5691397,-643.6640659,-1018.0134,-269.3147319,-206.8887801,-394.314509,-19.46305123,194.0153565,-495.02809,883.058803,-0.04187371,-3.361847888,3.278100468,1.705600331,107.7966742,1.318900917,3.785768008,4.240692183,90.5627208,45.34209738,166.6936297,0.803169305,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"28","Seuil des chèvres_8i",-12516,-11265.5,"Seuil des chèvres","8i","France",45.75,5.95,250,9,6,0.999836199,8,0.000133552,4.67596085,-2.430737717,11.78265942,997.966865,548.8121269,1447.121603,20.95914264,15.46369855,26.45458673,-10.98688092,-26.76098202,4.787220194,31.94602356,14.27639691,49.61565021,-198.2492832,-575.5955738,179.0970074,8.456726587,-180.4694905,197.3829437,371.1483676,-323.4114058,1065.708141,0.655470921,-2.691082224,4.002024066,1.761831869,111.3505975,1.362383453,3.910580106,4.380502571,93.54846193,46.83697037,172.189313,0.829648806,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"29","Sokoliny_layer 2",-12517,-12048.5,"Sokoliny","layer 2","Russia",65.5,60.5,290,10,8,0.999998814,9,1.19e-06,-8.049988458,-15.07399583,-1.025981083,364.0597341,-79.86878807,807.9882563,14.9011111,9.469610178,20.33261202,-30.12642846,-45.71698735,-14.53586957,45.02753956,27.56351084,62.49156829,-741.9482738,-1114.903888,-368.9926598,-266.7198873,-453.4478214,-79.99195309,152.8377036,-533.6404021,839.3158094,-0.088578491,-3.396192251,3.219035269,1.678966369,106.1133651,1.298305497,3.726650993,4.174471257,89.14853015,44.63405361,164.0906097,0.79062734,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"30","Stellmoor_Ahrensburgian culture",-12689.5,-10791.5,"Stellmoor","Ahrensburgian culture","Germany",53.6453,10.2092,45,2,8,0.995600736,9,0.004399226,-5.220911238,-12.33410121,1.892278734,654.0976833,204.532678,1103.662689,15.02567084,9.525207103,20.52613459,-23.83893523,-39.62744473,-8.050425737,38.86460608,21.17883963,56.55037253,-566.8074912,-944.4984576,-189.1165248,-190.1962179,-379.2950041,-1.09743173,702.300519,7.106320455,1397.494718,0.581209715,-2.76840024,3.93081967,1.768212513,111.7538644,1.367317456,3.92474265,4.396366984,93.88725672,47.00659498,172.8129132,0.832653459,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"31","Taforalt_s8-grey",-13058,-12704.5,"Taforalt","s8-grey","Maroc",34.810556,-2.408333,768,6,4,0.995324049,3,0.004675951,25.38381931,16.73899653,34.02864209,2749.196511,2202.829858,3295.563164,36.74534987,30.06051023,43.4301895,16.49317005,-2.69496735,35.68130745,20.25217982,-1.241737434,41.74609707,426.9771772,-32.03930937,885.9936638,537.0533424,307.2372542,766.8694306,38.82799775,-806.0574427,883.7134382,11.28628579,7.215428056,15.35714353,3.00264989,189.7722848,2.32187906,6.664712526,7.465590669,159.432511,79.82318085,293.4583207,1.413951547,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"32","Volosovo_NA",-12842.5,-12057,"Volosovo",NA,"belarus",55.02,30.334,185,2,9,0.995625859,8,0.004374141,-12.5305109,-19.48346849,-5.577553305,143.3363682,-296.1016939,582.7744303,11.48753338,6.110973596,16.86409316,-35.57656647,-51.00942254,-20.14371041,47.06409985,29.77672462,64.35147508,-894.9128271,-1264.095892,-525.7297625,-377.6093712,-562.4485005,-192.7702418,79.83732763,-599.6968618,759.371517,0.689383103,-2.584773227,3.963539432,1.60518229,101.4500931,1.24124999,3.562879092,3.991019388,85.23079697,42.67255955,156.8794619,0.755882325,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"33","Gully_cave_YD",NA,NA,"Gully_cave","YD","UK",51.27,-2.67,285,7,8,0.993572775,6,0.006427033,-0.351978402,-7.319856589,6.615899784,702.8574102,262.4763426,1143.238478,16.19239951,10.80430198,21.58049705,-15.8058684,-31.27184237,-0.339894431,31.99826791,14.6737951,49.32274072,-351.8461293,-721.8214366,18.12917812,-150.549249,-335.7850311,34.68653305,355.1172442,-325.8751812,1036.10967,-0.260072054,-3.54125451,3.021110402,1.620892674,102.4430145,1.253398464,3.597750022,4.030080651,86.06497548,43.09020825,158.4148867,0.763280365,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
