Site;Country;Biome;Lat;long;alt;MAT;Tp;Tmax;Tmin;Mta;It;Itc;P;D;;Rod_I;Rod_II;Rod_II/III;Rod_III;Rod_IV;Rod_V;Rod_VI;Rod_VII;Rod_VIII;Rod_IX;Rod_S;;EulRod_I;EulRod_II;EulRod_II/III;EulRod_III;EulRod_IV;EulRod_V;EulRod_VI;EulRod_VII;EulRod_VIII;EulRod_IX;EulRod_S
Erbogachen;Russia;8;61º16´N;108º01´E;287;-6.7;544;17;-31.2;48.2;-691;-170;323;0;;1.388000;1.388000;1.388000;1.388000;8.675000;1.388000;19.088000;4.513000;50.338000;10.413000;8;;0.740000;0.740000;0.740000;0.740000;4.626667;0.740000;21.286667;4.626667;51.286667;14.440000;15
Kajaani; Finland;8;64º17´N;27º41´E;134;1.9;606;16.1;-10.6;26.7;-193;-121;564;0;;1.009000;1.009000;1.009000;1.009000;8.582000;3.282000;28.273000;3.282000;46.455000;6.055000;11;;0.652941;0.652941;0.652941;0.652941;6.729412;2.123529;26.817647;6.729412;44.464706;10.482353;17
Nikolaevsk.na.Amure;Russia;8;53º08´N;140º45´E;21;-3.3;558;15.3;-25.3;40.6;-539;-192;447;0;;2.592000;2.592000;0.925000;0.925000;5.783000;4.675000;17.167000;5.367000;48.833000;11.108000;12;;1.636842;1.636842;0.584211;0.584211;3.652632;2.952632;22.242105;5.142105;50.136842;11.400000;19
Petropavlosk;Russia;8;52º53´N;158º42´E;87;1.4;486;13.1;-8.6;21.7;-159;-137;912;0;;0.000000;0.000000;0.000000;0.000000;6.660000;0.000000;13.320000;0.000000;43.320000;36.660000;5;;0.000000;0.000000;0.000000;0.000000;3.330000;0.000000;18.320000;3.330000;53.320000;21.660000;10
Serov;Russia;8;59º36´N;60º32´E;132;0;637;16.7;-16.9;33.6;-338;-131;446;0;;0.653000;0.653000;0.653000;0.653000;5.553000;3.594000;27.118000;5.065000;47.706000;8.329000;17;;0.411111;0.411111;0.411111;0.411111;5.162963;2.262963;28.922222;7.014815;43.737037;11.229630;27
Yakutsk;Russia;8;62º04´N;129º39´E;95;-10.2;602;18.5;-41;59.5;-922;-62;246;0;;0.000000;0.000000;0.000000;0.000000;4.485000;0.000000;21.146000;18.585000;46.785000;8.969000;13;;0.000000;0.000000;0.000000;0.000000;2.915000;0.000000;22.075000;13.745000;48.740000;12.495000;20
Bulun;Russia;9;70º45´N;127º47´E;35;-15.2;267;10.8;-40.8;51.6;-968;-343;224;0;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4.163000;4.163000;39.575000;52.075000;8;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;9.081818;6.054545;39.381818;45.445455;11
Dikson;Russia;9;73º30´N;80º31´E;26;-12;95;4.4;-26.9;31.3;-658;-497;366;0;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;25.000000;75.000000;2;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;25.000000;75.000000;2
Mayle.Karmaerly;Russia;9;72º23´N;55º44´E;16;-5.7;168;6.4;-15.4;21.8;-365;-342;317;0;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;25.000000;75.000000;2;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;25.000000;75.000000;2
Mys.Chelyuskin;Russia;9;77º43´N;104º17´E;6;-15.6;14;0.8;-31.1;31.9;-778;-605;232;0;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;25.000000;75.000000;2;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;33.333333;66.666667;3
Mys.Schmidt;Russia;9;68º55´N;179º17´E;6;-12.1;77;3.6;-27.3;30.9;-667;-514;296;0;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;8.325000;0.000000;33.325000;58.325000;4;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5.550000;0.000000;38.883333;55.550000;6
Nizhne.Kolmsk;Russia;9;68º32´N;160º59´E;4;-14.4;272;10.6;-40.6;51.2;-955;-347;175;0;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;4.163000;4.163000;45.825000;45.825000;8;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;8.325000;5.550000;44.433333;41.658333;12
Sabetta;Russia;9;71º15´N;72º06´E;5;-10.1;169;7;-25.1;32.1;-603;-426;273;0;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;8.325000;33.325000;58.325000;4;;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6.660000;36.660000;56.660000;5
