",""couche"",""min.14C"",""max.14C"",""site"",""level"",""pays"",""lat"",""long"",""alt"",""nb_mamm"",""First_predite"",""proba_value"",""Second_predite"",""proba_value.1"",""MAT.moy"",""MAT.min"",""MAT.max"",""Tp.moy"",""Tp.min"",""Tp.max"",""Tmax.moy"",""Tmax.min"",""Tmax.max"",""Tmin.moy"",""Tmin.min"",""Tmin.max"",""Mta.moy"",""Mta.min"",""Mta.max"",""It.moy"",""It.min"",""It.max"",""Itc.moy"",""Itc.min"",""Itc.max"",""P.moy"",""P.min"",""P.max"",""D.moy"",""D.min"",""D.max"",""MAT_se.fit"",""Tp_se.fit"",""Tmax_se.fit"",""Tmin_se.fit"",""Mta_se.fit"",""It_se.fit"",""Itc_se.fit"",""P_se.fit"",""D_se.fit"",""MAT_df"",""Tp_df"",""Tmax_df"",""Tmin_df"",""Mta_df"",""It_df"",""Itc_df"",""P_df"",""D_df"",""MAT_residual.scale"",""Tp_residual.scale"",""Tmax_residual.scale"",""Tmin_residual.scale"",""Mta_residual.scale"",""It_residual.scale"",""Itc_residual.scale"",""P_residual.scale"",""D_residual.scale"""
"11,""Felsställe_GH 3b (AH IIIb)"",-15105.5,-13239,""Felsställe"",""GH 3b (AH IIIb)"",""Germany"",48.27,9.75,530,10,6,0.99589206257195,8,0.00408973211107684,3.00922632108598,-3.96714842831949,9.98560107049144,1030.15760177939,589.239537836138,1471.07566572265,18.2045664924899,12.8098987680991,23.5992342168807,-11.176152388068,-26.6609854130919,4.3086806369559,29.3807188805617,12.0351207776208,46.7263169835027,-186.502496254587,-556.928947909661,183.923955400488,-29.9289886171955,-215.390645402058,155.532668167667,382.417897764826,-299.404923214197,1064.24071874385,1.11727543742956,-2.16790806015219,4.4024589350113,1.62978620639037,103.005100009042,1.26027562467466,3.61749019784132,4.05219294335833,86.5371977675107,43.3266360967827,159.284079303292,0.76746834024022,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"12,""Grot Skeliastyi_III-2"",-13721.5,-13256.5,""Grot Skeliastyi"",""III-2"",""Ukraine"",44.8069,33.982,290,8,7,0.999999999999999,6,9.76913939990726e-16,8.09578661764164,1.23162050099572,14.9599527342876,1190.85240576332,757.026107227062,1624.67870429958,23.1043662550443,17.7964668467617,28.4122656633269,-7.18941855918638,-22.4251921508139,8.04635503244111,30.293784814233,13.2271748559146,47.3603947725515,-58.2333002475534,-422.701779865399,306.235179370292,105.640374307027,-76.8383006735799,288.119049287634,339.316138692418,-331.540183313362,1010.1724606982,3.07434949403107,-0.15799481960929,6.30669380767143,1.5090549150855,95.3746889242516,1.16691693568194,3.34951378402973,3.7520146225762,80.1266958308696,40.1170858481976,147.484634380276,0.710615825849376,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"13,""Grotta Continenza_35-44"",-14806.5,-12394.5,""Grotta Continenza"",""35-44"",""Italie"",41.95,13.533,749,7,4,0.954991405556326,6,0.0450085895263391,9.8619815351197,2.8525277519077,16.8714353183317,1455.396627956,1012.38791606636,1898.40533984565,21.8320139925729,16.4117670235973,27.2522609615485,-0.626719066533383,-16.1849746546395,14.9315365215727,22.4587330591089,5.03088942798868,39.8865766902291,91.5354516252701,-280.647406409518,463.718309660058,156.540064007198,-29.8009739225967,342.881101936992,561.142337001293,-123.91340092319,1246.19807492578,2.57690555736215,-0.723854898149843,5.87766601287415,1.66405885713279,105.171186458575,1.28677786536998,3.69356212533011,4.13740620197108,88.3569819475983,44.2377486469853,162.6336521475,0.783607373861801,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"14,""Grotta del Clusantin _US 4"",-14699.5,-13484,""Grotta del Clusantin "",""US 4"",""Italie"",46.246944,12.888348,520,7,6,0.99975238608418,4,0.000247475633786119,7.61430183999425,0.515380874360152,14.7132228056284,1248.22737039593,799.564189204245,1696.89055158761,20.2626735325431,14.7732436800869,25.7521033849992,-4.43908641743997,-20.1959242822713,11.3177514473914,24.7017599499845,7.05147101662066,42.3520488833484,5.19631599236163,-371.737005157531,382.129637142255,70.6145397959053,-118.104915646694,259.333995238505,508.415585418537,-185.384058745972,1202.21522958305,1.07986286201978,-2.26302780034403,4.42275352438359,1.75416412948666,110.86598406685,1.356454168898,3.89356071301963,4.36143800894066,93.1413258959078,46.6331292989813,171.439920902864,0.826038058051646,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"15,""Grotta del Romito_C-C4"",-13366,-12730.5,""Grotta del Romito"",""C-C4"",""Italie"",39.910981,15.929079,296,8,4,0.998666245193844,6,0.00133375480614865,12.0825867798629,4.92610929459314,19.2390642651326,1498.94146737113,1046.640621903,1951.24231283927,23.0990070874716,17.5650701220865,28.6329440528567,2.64368297724639,-13.2409079295406,18.5282738840334,20.4553241102276,2.66193044214624,38.2487177783089,184.348374874877,-195.641040321577,564.337790071331,202.994053605654,12.7445015335259,393.243605677781,549.989933917146,-149.434888078733,1249.41475591303,3.10901904234521,-0.260975056298495,6.47901314098891,1.81033169773853,114.415864390026,1.39988723814815,4.01823082422258,4.50108934653536,96.1236704162342,48.1263017043851,176.929352191841,0.852487435407134,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"16,""Grotta del Romito_D-D10"",-14225,-13282.5,""Grotta del Romito"",""D-D10"",""Italie"",39.910981,15.929079,296,10,4,0.948584457293698,6,0.0514155426876788,10.3426738311856,3.20465848445571,17.4806891779154,1402.64745054688,951.513441820411,1853.78145927334,22.3473658526511,16.8277052279848,27.8670264773175,-0.202519300702932,-16.0461314552234,15.6410928538175,22.5498851533576,4.8023945290112,40.2973757777041,111.263237089832,-267.745888957181,490.272363136844,164.787088779211,-24.9716612754816,354.545838833904,522.13213314084,-175.488326584848,1219.75259286653,2.48960287105401,-0.871697383718085,5.85090312582611,1.79245769880758,113.286199014148,1.38606569205836,3.9785575126708,4.45664861433775,95.1746098742328,47.6511349345114,175.182470636445,0.844070547204744,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"17,""Grotta della Ferrovia_NA"",-14002,-13139,""Grotta della Ferrovia"",NA,""Italie"",45.75,12.73,115,7,6,0.998192563605591,4,0.00180743556985764,9.23971653913532,1.8901651473299,16.5892679309407,1275.01632539363,810.512899627625,1739.51975115963,20.5362841146946,14.8530476048578,26.2195206245313,-0.971843836296557,-17.2849835684529,15.3412958958598,21.5081279509948,3.23468805443088,39.7815678475587,99.1604779472545,-291.080634538153,489.401590432662,99.9298674235706,-95.4524087171842,295.312143564325,531.218853796236,-187.075682104108,1249.51338969658,1.05774352144117,-2.40316931857588,4.51865636145821,1.99015372808586,125.780904876397,1.5389394161195,4.41736564913813,4.94818698399033,105.671729261073,52.9067346473655,194.503918984722,0.937165851894013,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"18,""Grotta Paglicci_3"",-13711.5,-12969.5,""Grotta Paglicci"",""3"",""Italie"",41.654194,15.615283,119,5,4,0.999851750218631,6,0.000148249781323072,13.056205379546,5.9234951172009,20.1889156418911,1674.04657016197,1223.24785127013,2124.84528905381,24.1972190994406,18.6816607726773,29.7127774262038,3.37771983685147,-12.4541170978976,19.2095567716006,20.8194992625935,3.08519885020465,38.5537996749824,200.163122672268,-178.564317878342,578.890563222878,248.510178098512,58.8924597077889,438.127896489236,607.201406560227,-89.9005707543698,1304.30338387482,3.46290053707161,0.1040984530974,6.82170262104582,1.78729716162136,112.960044794114,1.38207516912932,3.96710313134547,4.44381779500208,94.9005994394164,47.5139459487078,174.678115273026,0.841640443861416,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"20,""Jean-Pierre_7"",-15061.5,-13088.5,""Jean-Pierre"",""7"",""France"",45.505,5.849,799,7,6,0.935047879693604,8,0.0649491640923192,0.909026700735581,-6.17022267198492,7.98827607345609,873.033941125039,425.614036129621,1320.45384612046,18.5604670729658,13.0862488040599,24.0346853418717,-16.1121783541855,-31.8253529494041,-0.399003758966979,34.6726454271543,17.0712666451198,52.2740242091888,-304.763608890746,-680.652422166114,71.125204384623,-44.1461351460721,-232.342636139634,144.05036584749,329.259330949673,-362.617747203793,1021.13640910314,0.333239956991633,-3.00038732794017,3.66686724192344,1.73465711318002,109.633109375885,1.34136984859575,3.85026273933345,4.31293705003341,92.1055565898707,46.1145499948137,169.533439475929,0.816852179947392,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"21,""Kettig_NA"",-14041,-12930.5,""Kettig"",NA,""Germany"",50.3958,7.4701,74,7,6,0.999832443102132,4,0.000164803361837673,5.73736017051203,-1.49475885596397,12.969479196988,1122.51956353882,665.438051449356,1579.60107562827,20.4758802482645,14.8834514449798,26.0683090515492,-8.17980780645507,-24.2322934547673,7.87267784185718,28.6556880547248,10.6742242469533,46.6371518624963,-88.6928514665669,-472.6986259776,295.312923044466,56.7062350112005,-135.554190337922,248.966660360323,431.177172945398,-275.640332336721,1137.99467822752,0.714973286874539,-2.69064050707348,4.12058708082256,1.88225310427733,118.961412538778,1.45550238275899,4.17786831664271,4.67990998872156,99.9425007370223,50.0382780092876,183.95845513664,0.886355314695624,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
